algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,normalized_total_training_time_sec,normalized_avg_step_time_ms,parameter_max_diff
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.442,4.807,1.442,4.807,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.983,3.277,0.983,3.277,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.219,4.065,1.219,4.065,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.945,3.149,0.945,3.149,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.162,3.873,1.162,3.873,0.00000000
recursive-doubling-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.854,2.847,0.960750,3.202875,0.00000000
recursive-doubling-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.024,3.412,1.152000,3.838500,0.00000000
swing-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.888,2.959,0.999000,3.328875,0.00000252
swing-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.074,3.581,1.208250,4.028625,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.627,5.422,1.627,5.422,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.488,4.960,1.488,4.960,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.528,5.095,1.528,5.095,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.496,4.988,1.496,4.988,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.529,5.097,1.529,5.097,0.00000000
recursive-doubling-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.357,4.523,1.526625,5.088375,0.00000000
recursive-doubling-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.471,4.904,1.654875,5.517000,0.00000000
swing-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.297,4.324,1.459125,4.864500,0.00000013
swing-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.365,4.550,1.535625,5.118750,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.729,9.097,2.729,9.097,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.787,9.291,2.787,9.291,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.842,9.474,2.842,9.474,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.735,9.116,2.735,9.116,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.775,9.251,2.775,9.251,0.00000000
recursive-doubling-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.362,7.874,2.657250,8.858250,0.00000000
recursive-doubling-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.570,8.565,2.891250,9.635625,0.00000000
swing-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.236,7.455,2.515500,8.386875,0.00000214
swing-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.391,7.972,2.689875,8.968500,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,5.145,17.150,5.145,17.150,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,6.647,22.157,6.647,22.157,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,5.865,19.551,5.865,19.551,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,6.351,21.170,6.351,21.170,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,5.860,19.535,5.860,19.535,0.00000000
recursive-doubling-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,5.501,18.335,6.188625,20.626875,0.00000000
recursive-doubling-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,5.708,19.028,6.421500,21.406500,0.00000000
swing-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,5.167,17.223,5.812875,19.375875,0.00000081
swing-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,4,6.152,20.506,6.921000,23.069250,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,16.122,53.741,16.122,53.741,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,18.642,62.139,18.642,62.139,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,18.889,62.963,18.889,62.963,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,17.985,59.949,17.985,59.949,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,18.300,60.999,18.300,60.999,0.00000000
recursive-doubling-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,15.910,53.034,17.898750,59.663250,0.00000000
recursive-doubling-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,17.089,56.962,19.225125,64.082250,0.00000000
swing-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,15.347,51.158,17.265375,57.552750,0.00000178
swing-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,4,16.767,55.889,18.862875,62.875125,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,33.537,111.789,33.537,111.789,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,40.443,134.811,40.443,134.811,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,37.461,124.870,37.461,124.870,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,40.721,135.737,40.721,135.737,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,36.487,121.623,36.487,121.623,0.00000000
recursive-doubling-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,33.359,111.198,37.528875,125.097750,0.00000000
recursive-doubling-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,31.903,106.342,35.890875,119.634750,0.00000000
swing-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,31.740,105.801,35.707500,119.026125,0.00000100
swing-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,4,35.667,118.890,40.125375,133.751250,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,1.282,4.273,1.282,4.273,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,0.814,2.715,0.814,2.715,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,1.067,3.555,1.067,3.555,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,0.784,2.615,0.784,2.615,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,1.032,3.439,1.032,3.439,0.00000000
recursive-doubling-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,0.713,2.378,0.802125,2.675250,0.00000000
recursive-doubling-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,0.919,3.062,1.033875,3.444750,0.00000000
swing-latency,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,0.749,2.495,0.842625,2.806875,0.00000009
swing-bandwidth,8,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,5,0.941,3.138,1.058625,3.530250,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,1.454,4.847,1.454,4.847,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,0.996,3.320,0.996,3.320,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,1.224,4.079,1.224,4.079,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,0.970,3.234,0.970,3.234,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,1.162,3.872,1.162,3.872,0.00000000
recursive-doubling-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,0.898,2.994,1.010250,3.368250,0.00000000
recursive-doubling-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,1.046,3.485,1.176750,3.920625,0.00000000
swing-latency,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,0.879,2.930,0.988875,3.296250,0.00000252
swing-bandwidth,8,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,5,1.011,3.371,1.137375,3.792375,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.693,5.644,1.693,5.644,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.518,5.060,1.518,5.060,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.550,5.168,1.550,5.168,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.509,5.031,1.509,5.031,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.553,5.178,1.553,5.178,0.00000000
recursive-doubling-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.215,4.051,1.366875,4.557375,0.00000000
recursive-doubling-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.419,4.729,1.596375,5.320125,0.00000000
swing-latency,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.238,4.125,1.392750,4.640625,0.00000013
swing-bandwidth,8,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,5,1.415,4.718,1.591875,5.307750,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.735,9.118,2.735,9.118,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.809,9.364,2.809,9.364,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.935,9.783,2.935,9.783,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.686,8.952,2.686,8.952,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.845,9.484,2.845,9.484,0.00000000
recursive-doubling-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.239,7.462,2.518875,8.394750,0.00000000
recursive-doubling-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.703,9.009,3.040875,10.135125,0.00000000
swing-latency,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.317,7.722,2.606625,8.687250,0.00000214
swing-bandwidth,8,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,5,2.336,7.785,2.628000,8.758125,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,5.113,17.044,5.113,17.044,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,6.427,21.425,6.427,21.425,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,5.802,19.340,5.802,19.340,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,6.556,21.855,6.556,21.855,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,5.617,18.725,5.617,18.725,0.00000000
recursive-doubling-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,5.311,17.703,5.974875,19.915875,0.00000000
recursive-doubling-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,5.961,19.870,6.706125,22.353750,0.00000000
swing-latency,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,5.207,17.356,5.857875,19.525500,0.00000081
swing-bandwidth,8,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,5,6.087,20.291,6.847875,22.827375,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,15.851,52.838,15.851,52.838,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,18.609,62.031,18.609,62.031,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,18.155,60.517,18.155,60.517,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,17.805,59.350,17.805,59.350,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,18.299,60.996,18.299,60.996,0.00000000
recursive-doubling-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,15.368,51.226,17.289000,57.629250,0.00000000
recursive-doubling-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,17.079,56.931,19.213875,64.047375,0.00000000
swing-latency,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,15.158,50.528,17.052750,56.844000,0.00000178
swing-bandwidth,8,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,5,17.038,56.795,19.167750,63.894375,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,32.786,109.288,32.786,109.288,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,40.371,134.568,40.371,134.568,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,37.257,124.190,37.257,124.190,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,38.689,128.962,38.689,128.962,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,37.171,123.903,37.171,123.903,0.00000000
recursive-doubling-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,31.695,105.650,35.656875,118.856250,0.00000000
recursive-doubling-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,33.174,110.580,37.320750,124.402500,0.00000000
swing-latency,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,30.951,103.171,34.819875,116.067375,0.00000100
swing-bandwidth,8,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,5,33.163,110.543,37.308375,124.360875,0.00000000
