algo,world_size,input_dim,hidden_dim,num_classes,num_layers,model_label,target_vector_size_bytes,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff,torchrun_status,accepted
builtin,7,4091,1,2,1,16KiB,16384,4096,16384,0.015625,100,64,25,1,2,0.590,5.901,0.00000000,0,completed
bidirectional-ring,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,2,2.867,28.672,0.00000000,0,completed
ring,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,2,2.050,20.495,0.00000000,0,completed
builtin,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,2,0.502,5.017,0.00000000,0,completed
bidirectional-ring,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,2,2.701,27.010,0.00000000,0,completed
ring,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,2,1.979,19.790,0.00000000,0,completed
builtin,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,2,0.511,5.111,0.00000000,0,completed
bidirectional-ring,7,32763,1,2,1,128KiB,131072,32768,131072,0.125000,100,64,25,1,2,2.937,29.373,0.00000000,0,completed
ring,7,32763,1,2,1,128KiB,131072,32768,131072,0.125000,100,64,25,1,2,1.884,18.841,0.00000000,0,completed
builtin,7,32763,1,2,1,128KiB,131072,32768,131072,0.125000,100,64,25,1,2,0.471,4.710,0.00000000,0,completed
bidirectional-ring,7,65531,1,2,1,256KiB,262144,65536,262144,0.250000,100,64,25,1,2,2.998,29.985,0.00000000,0,completed
ring,7,65531,1,2,1,256KiB,262144,65536,262144,0.250000,100,64,25,1,2,1.791,17.911,0.00000000,0,completed
builtin,7,65531,1,2,1,256KiB,262144,65536,262144,0.250000,100,64,25,1,2,0.457,4.574,0.00000000,0,completed
bidirectional-ring,7,131067,1,2,1,512KiB,524288,131072,524288,0.500000,100,64,25,1,2,2.951,29.511,0.00000000,0,completed
ring,7,131067,1,2,1,512KiB,524288,131072,524288,0.500000,100,64,25,1,2,1.953,19.525,0.00000000,0,completed
builtin,7,131067,1,2,1,512KiB,524288,131072,524288,0.500000,100,64,25,1,2,0.484,4.836,0.00000000,0,completed
bidirectional-ring,7,262139,1,2,1,1MiB,1048576,262144,1048576,1.000000,100,64,25,1,2,2.771,27.706,0.00000000,0,completed
ring,7,262139,1,2,1,1MiB,1048576,262144,1048576,1.000000,100,64,25,1,2,1.936,19.360,0.00000000,0,completed
builtin,7,262139,1,2,1,1MiB,1048576,262144,1048576,1.000000,100,64,25,1,2,0.454,4.537,0.00000000,0,completed
bidirectional-ring,7,251,1,2,1,1KiB,1024,256,1024,0.000977,100,64,25,1,3,2.728,27.284,0.00000000,0,completed
ring,7,251,1,2,1,1KiB,1024,256,1024,0.000977,100,64,25,1,3,1.809,18.088,0.00000000,0,completed
builtin,7,251,1,2,1,1KiB,1024,256,1024,0.000977,100,64,25,1,3,0.477,4.770,0.00000000,0,completed
bidirectional-ring,7,507,1,2,1,2KiB,2048,512,2048,0.001953,100,64,25,1,3,2.859,28.586,0.00000000,0,completed
ring,7,507,1,2,1,2KiB,2048,512,2048,0.001953,100,64,25,1,3,1.898,18.983,0.00000000,0,completed
