algo,size_label,target_vector_size_bytes,target_params,input_dim,actual_total_params,actual_vector_size_bytes,world_size,steps,batch_size,bucket_cap_mb,repeat_id,hook_calls,total_training_time_sec,avg_step_time_ms,parameter_max_diff,torchrun_status,accepted,log_file
builtin,512KiB,524288,131072,131067,131072,524288,3,100,4,64,1,[100; 100; 100],0.353,3.530,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_builtin_rep1.log
ring,512KiB,524288,131072,131067,131072,524288,3,100,4,64,1,[100; 100; 100],0.956,9.555,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_ring_rep1.log
trivance-latency,512KiB,524288,131072,131067,131072,524288,3,100,4,64,1,[100; 100; 100],1.520,15.196,0.00000002,0,true,logs_synthetic_vector_size_3gpu/512KiB_trivance_latency_rep1.log
trivance-bandwidth,512KiB,524288,131072,131067,131072,524288,3,100,4,64,1,[100; 100; 100],1.707,17.074,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_trivance_bandwidth_rep1.log
builtin,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,1,[100; 100; 100],0.317,3.168,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_builtin_rep1.log
ring,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,1,[100; 100; 100],0.938,9.377,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_ring_rep1.log
trivance-latency,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,1,[100; 100; 100],1.517,15.169,0.00000075,0,true,logs_synthetic_vector_size_3gpu/2MiB_trivance_latency_rep1.log
trivance-bandwidth,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,1,[100; 100; 100],1.750,17.500,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_trivance_bandwidth_rep1.log
builtin,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,1,[100; 100; 100],0.344,3.439,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_builtin_rep1.log
ring,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,1,[100; 100; 100],0.959,9.589,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_ring_rep1.log
trivance-latency,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,1,[100; 100; 100],1.468,14.682,0.00000136,0,true,logs_synthetic_vector_size_3gpu/8MiB_trivance_latency_rep1.log
trivance-bandwidth,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,1,[100; 100; 100],1.677,16.769,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_trivance_bandwidth_rep1.log
builtin,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,1,[100; 100; 100],0.339,3.386,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_builtin_rep1.log
ring,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,1,[100; 100; 100],1.014,10.143,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_ring_rep1.log
trivance-latency,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,1,[100; 100; 100],1.566,15.664,0.00002524,0,true,logs_synthetic_vector_size_3gpu/16MiB_trivance_latency_rep1.log
trivance-bandwidth,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,1,[100; 100; 100],1.748,17.479,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_trivance_bandwidth_rep1.log
builtin,32B,32,8,3,8,32,3,100,4,64,2,[100; 100; 100],0.301,3.013,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_builtin_rep2.log
