algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff
recursive-doubling-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,35.638,118.794,0.00000000
recursive-doubling-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,40.179,133.930,0.00000000
swing-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,37.927,126.423,0.00000095
swing-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,42.840,142.799,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,39.611,132.038,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,37.204,124.012,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,38.917,129.724,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,37.020,123.401,0.00000000
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.236,4.121,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.233,4.109,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.751,2.505,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.044,3.478,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.782,2.605,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.046,3.487,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.825,2.750,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.035,3.449,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.793,2.643,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.006,3.355,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.285,4.283,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.437,4.790,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.942,3.140,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.165,3.883,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.945,3.150,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.186,3.953,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.975,3.250,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.205,4.016,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.983,3.275,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.176,3.920,0.00000000
builtin,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.514,5.047,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.687,5.623,0.00000000
recursive-doubling-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.311,4.371,0.00000000
recursive-doubling-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.656,5.520,0.00000000
swing-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.356,4.521,0.00000006
swing-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.568,5.226,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.514,5.046,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.588,5.293,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.509,5.031,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.532,5.108,0.00000000
builtin,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.367,7.891,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.732,9.105,0.00000000
recursive-doubling-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.587,8.624,0.00000000
recursive-doubling-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.851,9.504,0.00000000
swing-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.450,8.168,0.00000012
swing-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,3.026,10.088,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.775,9.251,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.941,9.804,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.764,9.212,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.815,9.383,0.00000000
builtin,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,4.641,15.469,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.278,17.593,0.00000000
recursive-doubling-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.851,19.502,0.00000000
recursive-doubling-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,7.231,24.102,0.00000000
swing-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,6.214,20.715,0.00000136
swing-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,6.711,22.370,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,6.392,21.305,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.915,19.716,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,6.440,21.466,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,2,5.938,19.795,0.00000000
builtin,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,12.964,43.212,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,17.103,57.008,0.00000000
recursive-doubling-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,17.191,57.303,0.00000000
recursive-doubling-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,20.101,67.004,0.00000000
swing-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,17.327,57.756,0.00000110
swing-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,19.513,65.043,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,19.198,63.994,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,17.836,59.453,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,19.015,63.384,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,2,18.752,62.508,0.00000000
builtin,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,26.157,87.190,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,35.056,116.853,0.00000000
recursive-doubling-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,37.999,126.662,0.00000000
recursive-doubling-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,39.972,133.241,0.00000000
swing-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,37.008,123.359,0.00000095
swing-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,38.785,129.284,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,39.181,130.602,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,38.372,127.907,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,39.647,132.156,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,2,37.295,124.317,0.00000000
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.176,3.920,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.253,4.176,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.811,2.703,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.116,3.720,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.786,2.620,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.028,3.426,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.789,2.629,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.080,3.601,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,0.783,2.610,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,3,1.014,3.381,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.288,4.293,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.357,4.523,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.920,3.068,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.197,3.991,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.954,3.180,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.174,3.913,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.967,3.225,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.229,4.096,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,0.968,3.227,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,3,1.199,3.996,0.00000000
builtin,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.556,5.188,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.710,5.699,0.00000000
recursive-doubling-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.369,4.562,0.00000000
recursive-doubling-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.612,5.374,0.00000000
swing-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.399,4.663,0.00000006
swing-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.636,5.453,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.492,4.975,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.500,4.999,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.535,5.117,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,3,1.522,5.075,0.00000000
builtin,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.343,7.808,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.761,9.204,0.00000000
recursive-doubling-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.581,8.605,0.00000000
recursive-doubling-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.977,9.924,0.00000000
swing-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.470,8.234,0.00000012
swing-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.984,9.947,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.808,9.361,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.772,9.241,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.686,8.954,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,3,2.803,9.344,0.00000000
builtin,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,4.484,14.945,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.253,17.512,0.00000000
recursive-doubling-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.729,19.097,0.00000000
recursive-doubling-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,7.186,23.952,0.00000000
swing-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.759,19.197,0.00000136
swing-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,7.210,24.034,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,6.563,21.878,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.747,19.155,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,6.359,21.196,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,3,5.615,18.717,0.00000000
builtin,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,13.091,43.637,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,16.086,53.621,0.00000000
recursive-doubling-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,17.300,57.665,0.00000000
recursive-doubling-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,19.081,63.604,0.00000000
swing-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,17.225,57.417,0.00000110
swing-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.736,62.454,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.301,61.005,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,19.005,63.351,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.279,60.929,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,3,18.386,61.287,0.00000000
builtin,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,25.865,86.218,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,35.833,119.445,0.00000000
recursive-doubling-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,37.474,124.913,0.00000000
recursive-doubling-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,39.129,130.431,0.00000000
swing-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,37.070,123.565,0.00000095
swing-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,39.974,133.247,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,40.389,134.629,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,37.767,125.889,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,38.993,129.978,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,3,39.199,130.665,0.00000000
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.195,3.984,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.247,4.155,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.776,2.586,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.994,3.314,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.821,2.735,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.016,3.387,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.831,2.770,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.049,3.498,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,0.782,2.606,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,4,1.026,3.418,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.242,4.141,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.440,4.802,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.940,3.133,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.154,3.847,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.934,3.112,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.199,3.995,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.995,3.318,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.188,3.959,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,0.988,3.293,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,4,1.154,3.845,0.00000000
builtin,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.518,5.060,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.654,5.515,0.00000000
recursive-doubling-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.358,4.527,0.00000000
recursive-doubling-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.677,5.591,0.00000000
swing-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.370,4.567,0.00000006
swing-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.689,5.630,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.478,4.928,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.547,5.155,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.441,4.803,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,4,1.553,5.177,0.00000000
builtin,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.247,7.491,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.782,9.273,0.00000000
recursive-doubling-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.560,8.533,0.00000000
recursive-doubling-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.840,9.468,0.00000000
swing-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,4,2.550,8.499,0.00000012
