algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.214,4.046,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.283,4.276,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.788,2.626,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.008,3.361,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.778,2.592,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.012,3.373,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.813,2.710,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.032,3.440,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,0.785,2.617,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,1,1.047,3.491,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.292,4.305,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.410,4.700,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.931,3.102,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.187,3.958,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.955,3.182,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.181,3.937,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.958,3.192,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.236,4.119,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,0.968,3.228,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,1,1.181,3.936,0.00000000
builtin,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.433,4.776,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.675,5.583,0.00000000
recursive-doubling-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.348,4.494,0.00000000
recursive-doubling-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.656,5.521,0.00000000
swing-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.316,4.385,0.00000006
swing-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.753,5.842,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.441,4.805,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.627,5.422,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.416,4.720,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,1,1.566,5.219,0.00000000
builtin,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.264,7.546,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.767,9.224,0.00000000
recursive-doubling-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.513,8.376,0.00000000
recursive-doubling-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.911,9.703,0.00000000
swing-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.510,8.368,0.00000012
swing-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.880,9.599,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.842,9.475,0.00000418
bruck-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.830,9.432,0.00000000
trivance-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.769,9.230,0.00000208
trivance-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,1,2.796,9.319,0.00000000
builtin,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,4.312,14.374,0.00000000
ring,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.114,17.045,0.00000000
recursive-doubling-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.816,19.385,0.00000000
recursive-doubling-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.669,22.229,0.00000000
swing-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.000,20.001,0.00000136
swing-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.906,23.022,0.00000000
bruck-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.630,22.099,0.00000172
bruck-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.952,19.840,0.00000000
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.457,21.523,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.739,19.131,0.00000000
builtin,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,12.552,41.841,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,16.089,53.630,0.00000000
recursive-doubling-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.383,57.945,0.00000000
recursive-doubling-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,20.294,67.648,0.00000000
swing-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.524,58.412,0.00000110
swing-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,19.258,64.193,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.892,62.974,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.181,60.604,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.126,60.422,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.327,61.089,0.00000000
builtin,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,25.592,85.306,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,32.491,108.305,0.00000000
