algo,world_size,hidden_dim,num_layers,model_label,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff
trivance-latency,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,6.486,21.619,0.00000241
trivance-bandwidth,9,512,2,h512_l2,530442,2121768,2.023476,300,16,512,1,1,5.643,18.809,0.00000000
builtin,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,13.071,43.571,0.00000000
ring,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,16.802,56.007,0.00000000
recursive-doubling-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.996,59.986,0.00000000
recursive-doubling-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,19.398,64.661,0.00000000
swing-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.187,57.292,0.00000110
swing-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,20.544,68.481,0.00000000
bruck-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.730,62.434,0.00000194
bruck-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.331,61.103,0.00000000
trivance-latency,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,18.210,60.699,0.00000279
trivance-bandwidth,9,1024,2,h1024_l2,1585162,6340648,6.046913,300,16,512,1,1,17.975,59.917,0.00000000
builtin,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,25.979,86.597,0.00000000
ring,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,33.686,112.287,0.00000000
recursive-doubling-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,36.967,123.223,0.00000000
recursive-doubling-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,40.384,134.614,0.00000000
swing-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,37.280,124.268,0.00000095
swing-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,42.443,141.478,0.00000000
bruck-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,39.874,132.912,0.00000136
bruck-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,37.848,126.160,0.00000000
trivance-latency,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,38.448,128.161,0.00000103
trivance-bandwidth,9,1024,4,h1024_l4,3684362,14737448,14.054726,300,16,512,1,1,38.180,127.268,0.00000000
builtin,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.215,4.050,0.00000000
ring,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.283,4.278,0.00000000
recursive-doubling-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.769,2.562,0.00000000
recursive-doubling-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.018,3.395,0.00000000
swing-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.785,2.616,0.00000006
swing-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.016,3.386,0.00000000
bruck-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.799,2.664,0.00000033
bruck-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.022,3.408,0.00000000
trivance-latency,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,0.816,2.721,0.00000033
trivance-bandwidth,9,32,2,h32_l2,17802,71208,0.067909,300,16,512,1,2,1.049,3.496,0.00000000
builtin,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.345,4.483,0.00000000
ring,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.369,4.563,0.00000000
recursive-doubling-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.971,3.237,0.00000000
recursive-doubling-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.149,3.831,0.00000000
swing-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.912,3.040,0.00000017
swing-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.301,4.337,0.00000000
bruck-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.967,3.222,0.00000034
bruck-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.230,4.100,0.00000000
trivance-latency,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,0.960,3.201,0.00000022
trivance-bandwidth,9,64,2,h64_l2,37642,150568,0.143593,300,16,512,1,2,1.184,3.945,0.00000000
builtin,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.543,5.143,0.00000000
ring,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.684,5.615,0.00000000
recursive-doubling-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.309,4.363,0.00000000
recursive-doubling-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.686,5.619,0.00000000
swing-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.336,4.455,0.00000006
swing-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.666,5.552,0.00000000
bruck-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.494,4.979,0.00000135
bruck-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.597,5.325,0.00000000
trivance-latency,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.476,4.921,0.00000402
trivance-bandwidth,9,128,2,h128_l2,83466,333864,0.318398,300,16,512,1,2,1.542,5.139,0.00000000
builtin,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.246,7.487,0.00000000
ring,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.688,8.959,0.00000000
recursive-doubling-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.502,8.340,0.00000000
recursive-doubling-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.701,9.003,0.00000000
swing-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.564,8.547,0.00000012
swing-bandwidth,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.899,9.665,0.00000000
bruck-latency,9,256,2,h256_l2,199690,798760,0.761757,300,16,512,1,2,2.748,9.159,0.00000418
